11;"katkoinen {@fi}";"põigiti jaotatud {@et}";"vágott {@hu}";"per fess {@en}";"doorsneden {@nl}";"geteilt {@de}";"delad {@sv}";"delt {@nb}";"delt {@nn}";"tværdelt {@da}";"þverskiptur {@is}";"perkirstas {@lt}";"dalīts {@lv}";"prerë {@sq}";"κατά οριζόντια {@el}";"in fasciam bipartitus {@la}";"troncato {@it}";"coupé {@fr}";"cortado {@es}";"truncat {@ca}";"cortado {@pt}";"tăiat {@ro}";"w pas {@pl}";"dělený {@cs}";"delenie {@sk}";"deljeni {@sl}";"razdeljeno {@hr}";"раздељено {@sr}";"пресечен {@bg}";"пересечённый {@ru}";"рассечаны {@be}";"перетятий {@uk}";"Q3999669"
12;"halkoinen {@fi}";"pikuti poolitatud {@et}";"hasított {@hu}";"per pale {@en}";"gedeeld {@nl}";"gespalten {@de}";"kluven {@sv}";"kløvd {@nb}";"kløyvd {@nn}";"delt {@da}";"klofinn {@is}";"perskeltas {@lt}";"skaldīts {@lv}";;"κατά κάθετα {@el}";"in palum bipartitus {@la}";"partito {@it}";"parti {@fr}";"partido {@es}";"partit {@ca}";"partido {@pt}";"despicat {@ro}";"w słup {@pl}";"polcený {@cs}";"štiepenie {@sk}";"sekani {@sl}";"raskoljeni {@hr}";"расцепљено {@sr}";"разсечен {@bg}";"рассечённый {@ru}";"разбіты {@be}";"розтятий {@uk}";"Q2672501"
13;"lohkoinen {@fi}";"kaldjaotatud {@et}";"harántolt {@hu}";"per bend {@en}";"geschuind {@nl}";"schräggeteilt {@de}";"styckad {@sv}";"skrådelt {@nb}";"skrådelt {@nn}";"skrådelt {@da}";"skáskiptur frá dexter {@is}";"nuskeltas {@lt}";"šķelts no labās {@lv}";;;"in taeniam sectus {@la}";"trinciato {@it}";"tranché {@fr}";"tronchado {@es}";"trinxat {@ca}";"fendido {@pt}";"tăiat în bandă {@ro}";"w skos {@pl}";"kosmo dělený {@cs}";"kosmé delenie {@sk}";"desno poševno sekani {@sl}";"koso razdijeljen {@hr}";"расечено {@sr}";"скосен {@bg}";"скошенный справа {@ru}";"скошаны ў правы бок {@be}";"скошений справа {@uk}";"Q3998872"
14;"vastalohkoinen {@fi}";"kaldjaotatud vasakult {@et}";"balharántolt {@hu}";"per bend sinister {@en}";"linksgeschuind {@nl}";"schräglinksgeteilt {@de}";"ginstyckad {@sv}";"venstre skrådelt {@nb}";"venstre skrådelt {@nn}";"sinister skrådelt {@da}";"skáskiptur frá sinister {@is}";"nuskeltas iš kairės {@lt}";"šķelts no kreisās {@lv}";;"χωρισμένη διαγωνίως {@el}";"in vittam bipartitus {@la}";"tagliato {@it}";"taillé {@fr}";"tajado {@es}";"tallat {@ca}";"talhado {@pt}";"tăiat în bară {@ro}";"w lewy skos {@pl}";"šikmo děleném {@cs}";"šikmo delenie {@sk}";"levo poševno sekani {@sl}";"ljevokoso razdijeljen {@hr}";"разрезано {@sr}";"скосен наляво {@bg}";"скошенный слева {@ru}";"скошаны ў левы бок {@be}";"скошений зліва {@uk}";"Q3980121"
15;"hirsi {@fi}";"ristpalk {@et}";"pólya {@hu}";"fess {@en}";"dwarsbalk {@nl}";"Balken {@de}";"bjälke {@sv}";"bjelke {@nb}";"bjelke {@nn}";"bjælke {@da}";"bjálki {@is}";"juosta {@lt}";"sija {@lv}";"brez {@sq}";"οριζόντια μεσαία λορίδα {@el}";"fascia {@la}";"fascia {@it}";"fasce {@fr}";"faja {@es}";"faixa {@ca}";"faixa {@pt}";"brâu {@ro}";"pas {@pl}";"břevno {@cs}";"brvno {@sk}";"ščitov tram {@sl}";"poprečna greda {@hr}";"греда {@sr}";"пояс {@bg}";"пояс {@ru}";"пас {@be}";"балка {@uk}";"Q1088484"
16;"paalu {@fi}";"püstpalk {@et}";"cölöp {@hu}";"pale {@en}";"pal {@nl}";"Pfahl {@de}";"stolpe {@sv}";"stolpe {@nb}";"stolpe {@nn}";"pæl {@da}";"stólpi {@is}";"stulpas {@lt}";"pālis {@lv}";;"κάθετη μεσαία λορίδα {@el}";"palus {@la}";"palo {@it}";"pal {@fr}";"palo {@es}";"pal {@ca}";"pala {@pt}";"pal {@ro}";"słup {@pl}";"kůl {@cs}";"kôl {@sk}";"ščitov steber {@sl}";"kolac {@hr}";"стуб {@sr}";"стълб {@bg}";"столб {@ru}";"слуп {@be}";"стовп {@uk}";"Q593676"
17;"palkki {@fi}";"kaldpalk {@et}";"harántpólya {@hu}";"bend {@en}";"schuinbalk {@nl}";"Schrägbalken {@de}";"balk {@sv}";"skråbjelke {@nb}";"skråbjelke {@nn}";"skråbjælke {@da}";"skábjálki {@is}";"kaspinas {@lt}";"labā spāre {@lv}";"rrip {@sq}";"διαγώνιος λορίδα {@el}";"taenia {@la}";"banda {@it}";"bande {@fr}";"banda {@es}";"banda {@ca}";"banda {@pt}";"bandă {@ro}";"skos {@pl}";"břevno kosmé {@cs}";"kosmé brvno {@sk}";"desna lenta {@sl}";"kosa greda {@hr}";"трака {@sr}";;"перевязь справа {@ru}";"перавязь {@be}";"перев'яз справа {@uk}";"Q805079"
18;"vastapalkki {@fi}";"kaldpalk vasakult {@et}";"balharántpólya {@hu}";"bend sinister {@en}";"linkerschuinbalk {@nl}";"Schräglinksbalken {@de}";"ginbalk {@sv}";"venstre skråbjelke {@nb}";"venstre skråbjelke {@nn}";"venstreskråbjælke {@da}";"skábjálki frá sinister {@is}";"kairysis kaspinas {@lt}";"kreisā spāre {@lv}";;"διαγώνιος λορίδα με αντίθετη φορά {@el}";"vitta {@la}";"sbarra {@it}";"barre {@fr}";"barra {@es}";"barra {@ca}";"barra {@pt}";"bară {@ro}";"skos lewy {@pl}";"břevno šikmé {@cs}";"šikmé brvno {@sk}";"leva lenta {@sl}";"kosa lijeva greda {@hr}";"ешарпа {@sr}";;"перевязь слева {@ru}";;"перев'яз зліва {@uk}";"Q725356"
19;"tinktuuri {@fi}";"tinktuur {@et}";"borítás {@hu}";"tincture {@en}";"tinctuur {@nl}";"Tinktur {@de}";"tinktur {@sv}";"tinktur {@nb}";"tinktur {@nn}";"tinktur {@da}";"tinktúra {@is}";"spalvos {@lt}";"krāsa heraldikā {@lv}";"tinktura {@sq}";"βάμμα {@el}";"tinctura {@la}";"smalto {@it}";"couleur {@fr}";"esmalte {@es}";"esmalt {@ca}";"esmalte {@pt}";"smalţ {@ro}";"tynktura {@pl}";"tinktura {@cs}";"tinktúra {@sk}";;"tinktura {@hr}";"тинцтуре {@sr}";"тинктура {@bg}";"тинктура {@ru}";;"геральдичні кольори {@uk}";"Q3404720"
20;"kulta {@fi}";"kuldne {@et}";"arany {@hu}";"or {@en}";"goud {@nl}";"Gold {@de}";"guld {@sv}";"gull {@nb}";"gull {@nn}";"guld {@da}";"gylt {@is}";"auksas {@lt}";"zelts {@lv}";"ari {@sq}";"Χρυσό {@el}";"aureus {@la}";"oro {@it}";"or {@fr}";"oro {@es}";"or {@ca}";"ouro {@pt}";"aur {@ro}";"złoty {@pl}";"zlato {@cs}";"zlatá {@sk}";;"zlato {@hr}";"златна {@sr}";"злато {@bg}";"золотой {@ru}";"золото {@be}";"золотий {@uk}";"Q430099"
21;"hopea {@fi}";"hõbedane {@et}";"ezüst {@hu}";"argent {@en}";"zilver {@nl}";"Silber {@de}";"silver {@sv}";"sølv {@nb}";"sølv {@nn}";"sølv {@da}";"silfrað {@is}";"sidabras {@lt}";"sudrabs {@lv}";"argjendi {@sq}";"Αργυρή {@el}";"argenteus {@la}";"argento {@it}";"argent {@fr}";"plata {@es}";"argent {@ca}";"argento {@pt}";"argint {@ro}";"srebrny {@pl}";"stříbro {@cs}";"strieborná {@sk}";;"srebro {@hr}";"сребрна {@sr}";"сребро {@bg}";"серебряный {@ru}";"серебро {@be}";"срібний {@uk}";"Q936472"
22;"punainen {@fi}";"punane {@et}";"vörös {@hu}";"gules {@en}";"rood {@nl}";"Rot {@de}";"rött {@sv}";"rødt {@nb}";"raud {@nn}";"rødt {@da}";"rautt {@is}";"raudona {@lt}";"sarkans {@lv}";"kuqja {@sq}";"Κόκκινο {@el}";"ruber {@la}";"rosso {@it}";"gueules {@fr}";"gules {@es}";"gules {@ca}";"vermelho {@pt}";"roșu {@ro}";"czerwony {@pl}";"červená {@cs}";"červená {@sk}";;"crveno {@hr}";"црвена {@sr}";"червен {@bg}";"червлень {@ru}";"червлень {@be}";"червоний {@uk}";"Q858055"
23;"sininen {@fi}";"sinine {@et}";"kék {@hu}";"azure {@en}";"azuur {@nl}";"Blau {@de}";"blått {@sv}";"blått {@nb}";"blått {@nn}";"blåt {@da}";"blátt {@is}";"mėlyna {@lt}";"zils {@lv}";"kaltëra {@sq}";"Μπλε {@el}";"caeruleus {@la}";"azzurro {@it}";"azur {@fr}";"azur {@es}";"atzur {@ca}";"azul {@pt}";"albastru {@ro}";"niebieski {@pl}";"modrá {@cs}";"modrá {@sk}";;"plavo {@hr}";"плава {@sr}";"лазурен {@bg}";"лазурный {@ru}";"лазурь {@be}";"лазурний {@uk}";"Q1785501"
24;"musta {@fi}";"must {@et}";"fekete {@hu}";"sable {@en}";"zwart {@nl}";"Schwarz {@de}";"svart {@sv}";"svart {@nb}";"svart {@nn}";"sort {@da}";"svart {@is}";"juoda {@lt}";"melns {@lv}";"zeza {@sq}";"Μαύρο {@el}";"niger {@la}";"nero {@it}";"sable {@fr}";"sable {@es}";"sable {@ca}";"negro {@pt}";"negru {@ro}";"czarny {@pl}";"černá {@cs}";"čierna {@sk}";;"crno {@hr}";"црна {@sr}";"черен {@bg}";"чёрный {@ru}";"чернь {@be}";"чорний {@uk}";"Q936496"
25;"vihreä {@fi}";"roheline {@et}";"zöld {@hu}";"vert {@en}";"groen {@nl}";"Grün {@de}";"grönt {@sv}";"grønt {@nb}";"grønt {@nn}";"grønt {@da}";"grænt {@is}";"žalia {@lt}";"zaļš {@lv}";"gjelbërta {@sq}";"Πράσινο {@el}";"viridis {@la}";"verde {@it}";"sinople {@fr}";"sinople {@es}";"sinople {@ca}";"verde {@pt}";"verde {@ro}";"zielony {@pl}";"zelená {@cs}";"zelená {@sk}";;"zeleno {@hr}";"зелена {@sr}";"зелен {@bg}";"зелёный {@ru}";"зелень {@be}";"зелений {@uk}";"Q936535"
26;"purppura {@fi}";"purpur {@et}";"bíbor {@hu}";"purpure {@en}";"purper {@nl}";"Purpur {@de}";"purpur {@sv}";"purpur {@nb}";"purpur {@nn}";"purpur {@da}";"purpuralitt {@is}";"violetinė {@lt}";"purpurs {@lv}";"purpurta {@sq}";"Μωβ {@el}";"purpureus {@la}";"porpora {@it}";"pourpre {@fr}";"púrpura {@es}";"porpra {@ca}";"púrpura {@pt}";"purpură {@ro}";"purpurowy {@pl}";"purpur {@cs}";"purpurová {@sk}";;"ljubičasto {@hr}";"љубичаста {@sr}";"порфирен {@bg}";"пурпурный {@ru}";"пурпур {@be}";"пурпуровий {@uk}";"Q4401253"
27;"luonnonväri {@fi}";"loomulikku värvi {@et}";"természetes szín {@hu}";"proper {@en}";"natuurlijke kleur {@nl}";"Naturfarbe {@de}";"naturfärg {@sv}";"naturfarge {@nb}";;"naturligt farvet {@da}";"náttúrulitt {@is}";"natūrali spalva {@lt}";"dabiskā krāsa {@lv}";"ngjyrim natyror {@sq}";;"color nativus {@la}";"al naturale {@it}";"au naturel {@fr}";"al natural {@es}";"al natural {@ca}";"de sua cor {@pt}";"natural {@ro}";"barwa naturalna {@pl}";"přirozené barvy {@cs}";"prirodzená {@sk}";;;;"в естествен цвят {@bg}";"натурального цвета {@ru}";;"природного кольору {@uk}";"Q1867823"
