vastuu,lc,lpref,lalts,lLTs,PÄÄTÖS,KOMMENTIT,yc,ypref,yLTs,tyyppi
Mikko,http://urn.fi/URN:NBN:fi:au:lapponica:L298,mäkihyppy,,hiihtolajit,exactMatch,,http://www.yso.fi/onto/yso/p17050,mäkihyppy,talviurheilu,K
Mikko,http://urn.fi/URN:NBN:fi:au:lapponica:L776,mönkijät,,maastoajoneuvot,exactMatch,,http://www.yso.fi/onto/yso/p12340,mönkijät,moottoriajoneuvot; maastoajoneuvot,K
Mikko,http://urn.fi/URN:NBN:fi:au:lapponica:L877,naali,,,exactMatch,,http://www.yso.fi/onto/yso/p10637,naali,koiraeläimet; pienpedot,K
Mikko,http://urn.fi/URN:NBN:fi:au:lapponica:L525,naamiotanssi,,kansantanssit : inuitit; teatteri,ei löydy,,,,,
Mikko,http://urn.fi/URN:NBN:fi:au:lapponica:L384,naava,,jäkälät,exactMatch,,http://www.yso.fi/onto/yso/p18150,naavat,,
Mikko,http://urn.fi/URN:NBN:fi:au:lapponica:L673,nahkatyöt,,käsityöt,exactMatch,,http://www.yso.fi/onto/yso/p17731,nahkatyöt,käsityöt (objektit),K
Mikko,http://urn.fi/URN:NBN:fi:au:lapponica:L469,nahkiainen,,kalat,exactMatch,,http://www.yso.fi/onto/yso/p17587,nahkiainen,nahkiaiskalat,K
Mikko,http://urn.fi/URN:NBN:fi:au:lapponica:L96,napa-alueet,,,exactMatch,,http://www.yso.fi/onto/yso/p2839,napa-alueet,luonnon muodostamat alueet,K
Mikko,http://urn.fi/URN:NBN:fi:au:lapponica:L878,napapiirit,,,exactMatch,,http://www.yso.fi/onto/yso/p6846,napapiirit,leveyspiirit,K
Mikko,http://urn.fi/URN:NBN:fi:au:lapponica:L879,naparetket,,,exactMatch,,http://www.yso.fi/onto/yso/p15987,naparetket,matkat,K
Osma,http://urn.fi/URN:NBN:fi:au:lapponica:L674,nauhat,,käsityöt,exactMatch,"Lapponicassa LT:llä käsityöt, mutta YSOn käsite kattaa myös muunlaisia nauhoja, mm. kuminauhat",http://www.yso.fi/onto/yso/p2218,nauhat,tekstiilit,K
Osma,http://urn.fi/URN:NBN:fi:au:lapponica:L1178,Nenetsia,,,exactMatch,,http://www.yso.fi/onto/yso/p108297,Nenetsian autonominen piirikunta,Neuvostoliitto; Venäjä,P
Osma,http://urn.fi/URN:NBN:fi:au:lapponica:L882,nenetsin kieli,,samojedikielet,exactMatch,,http://www.yso.fi/onto/yso/p13783,nenetsin kieli,samojedikielet,K
Osma,http://urn.fi/URN:NBN:fi:au:lapponica:L25,nenetsit,jurakkisamojedit,alkuperäiskansat (Pohjoiset kansat); samojedit,exactMatch,,http://www.yso.fi/onto/yso/p17801,nenetsit,samojedit,K
Osma,http://urn.fi/URN:NBN:fi:au:lapponica:L26,nganasanit,tavgit (tavgisamojedit),alkuperäiskansat (Pohjoiset kansat); samojedit,exactMatch,,http://www.yso.fi/onto/yso/p16582,nganasanit,samojedit,K
Osma,http://urn.fi/URN:NBN:fi:au:lapponica:L470,nieriä,,kalat; lohikalat,exactMatch,,http://www.yso.fi/onto/yso/p11046,nieriä,lohikalat,K
Osma,http://urn.fi/URN:NBN:fi:au:lapponica:L884,nikkeli,,,exactMatch,,http://www.yso.fi/onto/yso/p19926,nikkeli,raskasmetallit,K
Osma,http://urn.fi/URN:NBN:fi:au:lapponica:L285,nimistöntutkimus,,,exactMatch,,http://www.yso.fi/onto/yso/p15963,nimistöntutkimus,tutkimustoiminta,K
Osma,http://urn.fi/URN:NBN:fi:au:lapponica:L885,nippu-uitto,,uitto,ei löydy,uitto yleisesti löytyy,,,,
Osma,http://urn.fi/URN:NBN:fi:au:lapponica:L887,noidat,,,exactMatch, ,http://www.yso.fi/onto/yso/p2088,noidat,toimintaan liittyvä rooli,K
Osma,http://urn.fi/URN:NBN:fi:au:lapponica:L890,noitarummut,,,exactMatch,,http://www.yso.fi/onto/yso/p16259,noitarummut,kulttiesineet,K
Osma,http://urn.fi/URN:NBN:fi:au:lapponica:L891,noitavainot,,,exactMatch,,http://www.yso.fi/onto/yso/p17078,noitavainot,vainot,K
Osma,http://urn.fi/URN:NBN:fi:au:lapponica:L781,noituus,,,exactMatch,,http://www.yso.fi/onto/yso/p7777,noituus,uskonnolliset tuotokset,K
Osma,http://urn.fi/URN:NBN:fi:au:lapponica:L130,norjalaistaminen,,assimilaatio (sosiologia),ei löydy,,,,,
Osma,http://urn.fi/URN:NBN:fi:au:lapponica:L1183,Norjanmeri,,Jäämeri,exactMatch,,http://www.yso.fi/onto/yso/p116389,Norjanmeri,Atlantin valtameri,P
Osma,http://urn.fi/URN:NBN:fi:au:lapponica:L658,norjansuomalaiset,suomalaiset : Ruija; Ruijan suomalaiset,,exactMatch,,http://www.yso.fi/onto/yso/p25613,norjansuomalaiset,ulkosuomalaiset,K
Osma,http://urn.fi/URN:NBN:fi:au:lapponica:L1162,Northwest territories,,Arktis : Kanada,ei löydy,,,,,
Osma,http://urn.fi/URN:NBN:fi:au:lapponica:L1163,Nunavut,,Arktis : Kanada,exactMatch,,http://www.yso.fi/onto/yso/p125911,Nunavut,Kanada,P
Osma,http://urn.fi/URN:NBN:fi:au:lapponica:L453,nuottakalastus,,kalastus,exactMatch,,http://www.yso.fi/onto/yso/p12435,nuottakalastus,kalastus,K
