lc ,lpref ,
http://urn.fi/URN:NBN:fi:au:lapponica:L1 ,ahkiot ,gerresat
http://urn.fi/URN:NBN:fi:au:lapponica:L4 ,ahma ,geatki
http://urn.fi/URN:NBN:fi:au:lapponica:L6 ,akkalansaame ,áhkkilsápmi
http://urn.fi/URN:NBN:fi:au:lapponica:L9 ,akkulturaatio ,akkulturašuvdna
http://urn.fi/URN:NBN:fi:au:lapponica:L1153 ,Alaska ,Alaska
http://urn.fi/URN:NBN:fi:au:lapponica:L12 ,aleutin kieli ,aleuhtagiella
http://urn.fi/URN:NBN:fi:au:lapponica:L14 ,aleutit ,aleuhtat
http://urn.fi/URN:NBN:fi:au:lapponica:L17 ,alkuperäiskansat (Pohjoiset kansat) ,álgoálbmogat (davviálbmogat)
http://urn.fi/URN:NBN:fi:au:lapponica:L34 ,allasalueet ,álddesguovllut
http://urn.fi/URN:NBN:fi:au:lapponica:L40 ,alppilajit ,álpašlájat
http://urn.fi/URN:NBN:fi:au:lapponica:L45 ,Altan tapahtumat ,Álttá dáhpáhusat
http://urn.fi/URN:NBN:fi:au:lapponica:L47 ,aluebibliografiat ,guovllubibliografiijat
http://urn.fi/URN:NBN:fi:au:lapponica:L49 ,alueellinen identiteetti ,guvllolaš identitehta
http://urn.fi/URN:NBN:fi:au:lapponica:L53 ,alueellinen yhteistyö ,guvllolaš ovttasbargu
http://urn.fi/URN:NBN:fi:au:lapponica:L55 ,alueellistaminen ,guovlluiduhttin
http://urn.fi/URN:NBN:fi:au:lapponica:L57 ,alueellistuminen ,guovlluiduvvan
http://urn.fi/URN:NBN:fi:au:lapponica:L58 ,alueellisuus ,guvllolašvuohta
http://urn.fi/URN:NBN:fi:au:lapponica:L59 ,alueet ,guovllut
http://urn.fi/URN:NBN:fi:au:lapponica:L63 ,aluehallinto ,guovlluhálddahus
http://urn.fi/URN:NBN:fi:au:lapponica:L68 ,aluekehitys ,guovlluovdáneapmi
http://urn.fi/URN:NBN:fi:au:lapponica:L69 ,aluekokoelmat ,guovllučoakkáldagat
http://urn.fi/URN:NBN:fi:au:lapponica:L72 ,alueohjelmat ,guovlluprográmmat
http://urn.fi/URN:NBN:fi:au:lapponica:L73 ,alueorkesteritoiminta ,guovlluorkesterdoaibma
http://urn.fi/URN:NBN:fi:au:lapponica:L74 ,aluepolitiikka ,guovllupolitihkka
http://urn.fi/URN:NBN:fi:au:lapponica:L76 ,aluerakenne ,guovlluráhkadus
http://urn.fi/URN:NBN:fi:au:lapponica:L77 ,aluesuunnittelu ,guovlluplánen
http://urn.fi/URN:NBN:fi:au:lapponica:L80 ,aluetalous ,guovlluekonomiija
http://urn.fi/URN:NBN:fi:au:lapponica:L81 ,alueteatteritoiminta ,guovlluteáhterdoaibma
http://urn.fi/URN:NBN:fi:au:lapponica:L83 ,aluetiede ,guovlludieđa
http://urn.fi/URN:NBN:fi:au:lapponica:L48 ,aluetietokannat ,guovlludiehtovuođut
http://urn.fi/URN:NBN:fi:au:lapponica:L84 ,aluetutkimus ,guovlludutkan
http://urn.fi/URN:NBN:fi:au:lapponica:L85 ,ammattikalastus ,ámmátguolástus
http://urn.fi/URN:NBN:fi:au:lapponica:L87 ,ampuhaukka ,cižášfálli
http://urn.fi/URN:NBN:fi:au:lapponica:L90 ,ampumahiihto ,báhčinčuoigan
http://urn.fi/URN:NBN:fi:au:lapponica:L92 ,ansapyynti ,gárdebivdu
http://urn.fi/URN:NBN:fi:au:lapponica:L95 ,antarktinen alue ,antarktalaš guovlu
http://urn.fi/URN:NBN:fi:au:lapponica:L1154 ,Antarktis ,Antarktis
http://urn.fi/URN:NBN:fi:au:lapponica:L100 ,arjeploginsaame ,árjjapluovisápmi
http://urn.fi/URN:NBN:fi:au:lapponica:L101 ,arkeologia ,arkeologiija 
http://urn.fi/URN:NBN:fi:au:lapponica:L107 ,arkeologiset kaivaukset ,arkeologalaš roggamat
http://urn.fi/URN:NBN:fi:au:lapponica:L108 ,arkeologiset löydöt ,arkeologalaš gávdnosat
http://urn.fi/URN:NBN:fi:au:lapponica:L109 ,arkkutuolit ,bumbástuolut
http://urn.fi/URN:NBN:fi:au:lapponica:L111 ,arktinen alue ,arktalaš guovlu
http://urn.fi/URN:NBN:fi:au:lapponica:L115 ,arktinen hysteria ,arktalaš hysteriija
http://urn.fi/URN:NBN:fi:au:lapponica:L117 ,arktinen lääketiede ,arktalaš dálkkasdieđa
http://urn.fi/URN:NBN:fi:au:lapponica:L119 ,arktinen tekniikka ,arktalaš teknihkka
http://urn.fi/URN:NBN:fi:au:lapponica:L121 ,arktinen tutkimus ,arktalaš dutkan
http://urn.fi/URN:NBN:fi:au:lapponica:L124 ,arktinen yhteistyö ,arktalaš ovttasbargu
http://urn.fi/URN:NBN:fi:au:lapponica:L126 ,Arktis ,Arktis
http://urn.fi/URN:NBN:fi:au:lapponica:L1160 ,Arktis : Kanada ,Arktis : Kanada
http://urn.fi/URN:NBN:fi:au:lapponica:L1165 ,Arktis : Neuvostoliitto (hist.) ,Arktis : Sovjetlihttu (hist.)
http://urn.fi/URN:NBN:fi:au:lapponica:L1166 ,Arktis : Venäjä ,Arktis : Ruošša
http://urn.fi/URN:NBN:fi:au:lapponica:L31 ,arktiset kulttuurit ,arktalaš kultuvrrat
http://urn.fi/URN:NBN:fi:au:lapponica:L128 ,assimilaatio (sosiologia) ,assimilašuvdna (sosiologiija)
http://urn.fi/URN:NBN:fi:au:lapponica:L102 ,asuinpaikat ,orohagat
http://urn.fi/URN:NBN:fi:au:lapponica:L136 ,asunnot ,viesut
http://urn.fi/URN:NBN:fi:au:lapponica:L141 ,asuntolat ,ásodagat
http://urn.fi/URN:NBN:fi:au:lapponica:L143 ,asutushistoria ,ásaiduhttinhistorjá
http://urn.fi/URN:NBN:fi:au:lapponica:L146 ,asutusluotot ,ásaiduhttinloanat
http://urn.fi/URN:NBN:fi:au:lapponica:L147 ,asutuspolitiikka ,ásaiduhttinpolitihkka
http://urn.fi/URN:NBN:fi:au:lapponica:L148 ,asutustilat ,ásaiduhttindálut
http://urn.fi/URN:NBN:fi:au:lapponica:L151 ,asutustoiminta ,ássandoaibma
http://urn.fi/URN:NBN:fi:au:lapponica:L152 ,aurinko ,beaivváš
http://urn.fi/URN:NBN:fi:au:lapponica:L155 ,autiotuvat ,ávdinstobut
http://urn.fi/URN:NBN:fi:au:lapponica:L160 ,avohakkuut ,jalgačuohppamat
http://urn.fi/URN:NBN:fi:au:lapponica:L1168 ,Barentsin alue ,Barentsguovlu
http://urn.fi/URN:NBN:fi:au:lapponica:L162 ,Barentsin alue : yhteistyö ,Barentsguovlu : ovttasbargu
http://urn.fi/URN:NBN:fi:au:lapponica:L1170 ,Barentsinmeri ,Barentsáhpi
http://urn.fi/URN:NBN:fi:au:lapponica:L1171 ,Beaufortinmeri ,Beaufortmearra
http://urn.fi/URN:NBN:fi:au:lapponica:L165 ,Bidjovagge ,Biedjovággi (S)
http://urn.fi/URN:NBN:fi:au:lapponica:L167 ,Birtavarre ,Birtavárri (S)
http://urn.fi/URN:NBN:fi:au:lapponica:L168 ,bjarmit ,bjárpmat
http://urn.fi/URN:NBN:fi:au:lapponica:L170 ,duaali ,duála
http://urn.fi/URN:NBN:fi:au:lapponica:L172 ,duodji ,duodji
http://urn.fi/URN:NBN:fi:au:lapponica:L175 ,ekomatkailu ,ekoturisma
http://urn.fi/URN:NBN:fi:au:lapponica:L179 ,Elijärvi ,Elijärvi (S)
http://urn.fi/URN:NBN:fi:au:lapponica:L180 ,eläimet : palvonta ,eallit : bálvaleampi
http://urn.fi/URN:NBN:fi:au:lapponica:L184 ,eläinmaantiede ,ealligeografiija
http://urn.fi/URN:NBN:fi:au:lapponica:L185 ,eläinpuistot ,ealliidpárkkat
http://urn.fi/URN:NBN:fi:au:lapponica:L187 ,eläinurheilu ,ealliiguingilvaleapmi
http://urn.fi/URN:NBN:fi:au:lapponica:L18 ,enetsit ,enecat
http://urn.fi/URN:NBN:fi:au:lapponica:L190 ,enteet ,ovdasat
http://urn.fi/URN:NBN:fi:au:lapponica:L193 ,erakot ,oktooruhat
