KE1. Having a child
KE1.1. Adoption
KE2. Conscription
KE3. Beginning full-time studies
KE4. Moving
KE4.1. Moving from childhood home
KE4.2. Moving to new home within Finland
KE4.3. Moving abroad
KE4.4. Moving back to Finland
KE5. Immigrating to Finland
KE6. Building a home
KE7. Divorce
KE8. Losing a job
KE9. Burdened by debt
KE10. Retirement
KE11. Falling seriously ill
KE12. Rehabilition
KE13. Giving informal care
KE14. Death of a close family member
