TT1. Offentliga serviceleverantörer
TT1.1. Staten
TT1.2. Kommun
TT1.3. Regionalt samarbetsorgan
TT2. Privata serviceleverantörer
TT2.1. Företag
TT2.2. Föreningar och organisationer
