ID,Notaatio,Luokan nimi suomeksi,Luokan nimi ruotsiksi,Luokan nimi englanniksi,Kuvaus suomeksi,Kuvaus ruotsiksi,Kuvaus englanniksi
v4001,TTP1,Itse tuotetut palvelut,Självproducerade tjänster,Self produced services,,,
v4002,TTP2,Ostopalvelut,Köpta tjänster,Procured services,,,
v4003,TTP3,Palvelusetelillä maksettavat palvelut,Servicesedeltjänster,Voucher services,,,
