TT1. Julkiset palvelutuottajat
TT1.1. Valtio
TT1.2. Kunta
TT1.3. Alueellinen yhteistoimintaorganisaatio
TT2. Yksityiset palvelutuottajat
TT2.1. Yritys
TT2.2. Järjestö tai yhteisö
