ID,Notaatio,Luokan nimi suomeksi,Luokan nimi ruotsiksi,Luokan nimi englanniksi,Kuvaus suomeksi,Kuvaus ruotsiksi,Kuvaus englanniksi
v5001,TT1,Julkiset palvelutuottajat,Offentliga serviceleverantörer,Public sector service producers,,,
v5002,TT1.1,Valtio,Staten,State,,,
v5003,TT1.2,Kunta,Kommun,Municipality,,,
v5004,TT1.3,Alueellinen yhteistoimintaorganisaatio,Regionalt samarbetsorgan,Regional joint organization,,,
v5005,TT2,Yksityiset palvelutuottajat,Privata serviceleverantörer,Private sector service producers,,,
v5006,TT2.1,Yritys,Företag,Companies,,,
v5007,TT2.2,Järjestö tai yhteisö,Föreningar och organisationer,Non-profit organizations,,,
