YK1. Kansainvälistyvät yritykset
YK2. Keksijät
YK3. Kotimarkkinoilla toimivat yritykset
YK4. Suomeen ulkomailta tulevat yrittäjät
YK5. Suuryritykset
YK6. Työnantajat
YK7. Yhteisöt
YK8. Yrityksen perustajat kotimaassa
