Pääluokan numero,Pääluokan nimi suomeksi,Pääluokan nimi englanniksi,Pääluokan nimi ruotsiksi,Aliluokan numero,Aliluokan nimi suomeksi,Aliluokan nimi englanniksi,Aliluokan nimi ruotsiksi
1,Luonnontieteet,Natural sciences ,Naturvetenskaper,111,Matematiikka,Mathematics ,Matematik
1,Luonnontieteet,Natural sciences ,Naturvetenskaper,112,Tilastotiede,Statistics and probability ,Statistik
1,Luonnontieteet,Natural sciences ,Naturvetenskaper,113,Tietojenkäsittely ja informaatiotieteet ,Computer and information sciences,Data- och informationsvetenskap
1,Luonnontieteet,Natural sciences ,Naturvetenskaper,114,Fysiikka,Physical sciences ,Fysik
1,Luonnontieteet,Natural sciences ,Naturvetenskaper,115,Avaruustieteet ja tähtitiede,"Astronomy, Space science ",Rymdvetenskap och astronomi
1,Luonnontieteet,Natural sciences ,Naturvetenskaper,116,Kemia,Chemical sciences ,Kemi
1,Luonnontieteet,Natural sciences ,Naturvetenskaper,1171,Geotieteet,Geosciences,Geovetenskaper
1,Luonnontieteet,Natural sciences ,Naturvetenskaper,1172,Ympäristötiede,Environmental sciences ,Miljövetenskap
1,Luonnontieteet,Natural sciences ,Naturvetenskaper,1181,"Ekologia, evoluutiobiologia","Ecology, evolutionary biology ","Ekologi, evolutionsbiologi"
1,Luonnontieteet,Natural sciences ,Naturvetenskaper,1182,"Biokemia, solu- ja molekyylibiologia ","Biochemistry, cell and molecular biology ","Biokemi, cell- och molekylärbiologi"
1,Luonnontieteet,Natural sciences ,Naturvetenskaper,1183,"Kasvibiologia, mikrobiologia, virologia ","Plant biology, microbiology, virology ","Växtbiologi, mikrobiologi, virologi"
1,Luonnontieteet,Natural sciences ,Naturvetenskaper,1184,"Genetiikka, kehitysbiologia, fysiologia","Genetics, developmental biology, physiology","Genetik, utvecklingsbiologi, fysiologi"
1,Luonnontieteet,Natural sciences ,Naturvetenskaper,119, Muut luonnontieteet ,Other natural sciences ,Övrig naturvetenskap
2,Tekniikka,Engineering and technology ,Teknik,211,Arkkitehtuuri,Architecture ,Arkitektur
2,Tekniikka,Engineering and technology ,Teknik,212,Rakennus- ja yhdyskuntatekniikka,Civil and Construction engineering,Byggnads- och samhällsteknik
2,Tekniikka,Engineering and technology ,Teknik,213,"Sähkö-, automaatio- ja tietoliikennetekniikka, elektroniikka ","Electronic, automation and communications engineering, electronics ","El-, automations- och telekommunikationsteknik, elektronik"
2,Tekniikka,Engineering and technology ,Teknik,214, Kone- ja valmistustekniikka,Mechanical engineering ,Maskin- och produktionsteknik
2,Tekniikka,Engineering and technology ,Teknik,215,"Teknillinen kemia, kemian prosessitekniikka",Chemical engineering ,"Teknisk kemi, kemisk processteknik"
2,Tekniikka,Engineering and technology ,Teknik,216,Materiaalitekniikka,Materials engineering ,Materialteknik
2,Tekniikka,Engineering and technology ,Teknik,217,Lääketieteen tekniikka,Medical engineering ,Medicinsk teknik
2,Tekniikka,Engineering and technology ,Teknik,218,Ympäristötekniikka,Environmental engineering ,Miljöteknik
2,Tekniikka,Engineering and technology ,Teknik,219, Ympäristön bioteknologia,Environmental biotechnology ,Miljöbioteknologi
2,Tekniikka,Engineering and technology ,Teknik,220,Teollinen bioteknologia,Industrial biotechnology ,Industriell bioteknologi
2,Tekniikka,Engineering and technology ,Teknik,221,Nanoteknologia,Nano-technology ,Nanoteknologi
2,Tekniikka,Engineering and technology ,Teknik,222,Muu tekniikka ,Other engineering and technologies ,Övrig teknik och teknologi
3,Lääke- ja terveystieteet,Medical and health sciences ,Medicin och hälsovetenskaper,3111,Biolääketieteet,Biomedicine ,Biomedicinska vetenskaper
3,Lääke- ja terveystieteet,Medical and health sciences ,Medicin och hälsovetenskaper,3112,Neurotieteet,Neurosciences ,Neurovetenskaper
3,Lääke- ja terveystieteet,Medical and health sciences ,Medicin och hälsovetenskaper,3121,Sisätaudit,Internal medicine ,Inre medicin
3,Lääke- ja terveystieteet,Medical and health sciences ,Medicin och hälsovetenskaper,3122,Syöpätaudit,Cancers ,Cancersjukdomar
3,Lääke- ja terveystieteet,Medical and health sciences ,Medicin och hälsovetenskaper,3123,Naisten- ja lastentaudit,Gynaecology and paediatrics ,Kvinno- och barnsjukdomar
3,Lääke- ja terveystieteet,Medical and health sciences ,Medicin och hälsovetenskaper,3124,Neurologia ja psykiatria,Neurology and psychiatry ,Neurologi och psykiatri
3,Lääke- ja terveystieteet,Medical and health sciences ,Medicin och hälsovetenskaper,3125,"Korva-, nenä- ja kurkkutaudit, silmätaudit","Otorhinolaryngology, ophthalmology ","Öron-, näs- och halssjukdomar, ögonsjukdomar"
3,Lääke- ja terveystieteet,Medical and health sciences ,Medicin och hälsovetenskaper,3126,"Kirurgia, anestesiologia, tehohoito, radiologia  ","Surgery, anesthesiology, intensive care, radiology ","Kirurgi, anestesiologi, intensivvård, radiologi"
3,Lääke- ja terveystieteet,Medical and health sciences ,Medicin och hälsovetenskaper,313,Hammaslääketieteet,Dentistry ,Odontologi
3,Lääke- ja terveystieteet,Medical and health sciences ,Medicin och hälsovetenskaper,3141,Terveystiede,Health care science ,Hälsovetenskap
3,Lääke- ja terveystieteet,Medical and health sciences ,Medicin och hälsovetenskaper,3142,"Kansanterveystiede, ympäristö ja työterveys ","Public health care science, environmental and occupational health ","Folkhälsovetenskap, miljö och arbetshälsa"
3,Lääke- ja terveystieteet,Medical and health sciences ,Medicin och hälsovetenskaper,315,Liikuntatiede,Sport and fitness sciences ,Gymnastik- och idrottsvetenskap
3,Lääke- ja terveystieteet,Medical and health sciences ,Medicin och hälsovetenskaper,316,Hoitotiede,Nursing ,Vårdvetenskap
3,Lääke- ja terveystieteet,Medical and health sciences ,Medicin och hälsovetenskaper,317,Farmasia,Pharmacy ,Farmaci
3,Lääke- ja terveystieteet,Medical and health sciences ,Medicin och hälsovetenskaper,318,Lääketieteen bioteknologia,Medical biotechnology ,Medicinsk bioteknologi
3,Lääke- ja terveystieteet,Medical and health sciences ,Medicin och hälsovetenskaper,319, Oikeuslääketiede ja muut lääketieteet ,Forensic science and other medical sciences ,Rättsmedicin och övrig medicinsk vetenskap
4,Maatalous- ja metsätieteet,Agriculture and forestry ,Jordbruks- och skogsvetenskaper,4111,Maataloustiede,Agronomy ,Jordbruksvetenskap
4,Maatalous- ja metsätieteet,Agriculture and forestry ,Jordbruks- och skogsvetenskaper,4112,Metsätiede,Forestry ,Skogsvetenskap
4,Maatalous- ja metsätieteet,Agriculture and forestry ,Jordbruks- och skogsvetenskaper,412,"Kotieläintiede, maitotaloustiede ","Animal science, dairy science ","Djursvetenskap, mjölkproduktlära"
4,Maatalous- ja metsätieteet,Agriculture and forestry ,Jordbruks- och skogsvetenskaper,413,Eläinlääketiede,Veterinary science ,Veterinärvetenskap
4,Maatalous- ja metsätieteet,Agriculture and forestry ,Jordbruks- och skogsvetenskaper,414,Maatalouden bioteknologia,Agricultural biotechnology ,Jordbruksbioteknologi
4,Maatalous- ja metsätieteet,Agriculture and forestry ,Jordbruks- och skogsvetenskaper,415,Muut maataloustieteet ,Other agricultural sciences ,Övriga jordbruksvetenskaper
5,Yhteiskuntatieteet,Social sciences ,Samhällsvetenskaper,511,Kansantaloustiede,Economics ,Nationalekonomi
5,Yhteiskuntatieteet,Social sciences ,Samhällsvetenskaper,512,Liiketaloustiede,Business and management ,Företagsekonomi
5,Yhteiskuntatieteet,Social sciences ,Samhällsvetenskaper,513,Oikeustiede,Law ,Juridik
5,Yhteiskuntatieteet,Social sciences ,Samhällsvetenskaper,5141,Sosiologia,Sociology ,Sociologi
5,Yhteiskuntatieteet,Social sciences ,Samhällsvetenskaper,5142,Sosiaali- ja yhteiskuntapolitiikka ,Social policy ,Social- och samhällspolitik
5,Yhteiskuntatieteet,Social sciences ,Samhällsvetenskaper,515,Psykologia ,Psychology ,Psykologi
5,Yhteiskuntatieteet,Social sciences ,Samhällsvetenskaper,516,Kasvatustieteet,Educational sciences ,Pedagogik
5,Yhteiskuntatieteet,Social sciences ,Samhällsvetenskaper,517,"Valtio-oppi, hallintotiede",Political science ,Statsvetenskap
5,Yhteiskuntatieteet,Social sciences ,Samhällsvetenskaper,518,Media- ja viestintätieteet,Media and communications ,Medie- och kommunikationsvetenskap
5,Yhteiskuntatieteet,Social sciences ,Samhällsvetenskaper,519,"Yhteiskuntamaantiede, talousmaantiede ",Social and economic geography ,Socialgeografi och ekonomisk geografi
5,Yhteiskuntatieteet,Social sciences ,Samhällsvetenskaper,520,Muut yhteiskuntatieteet ,Other social sciences ,Övriga samhällsvetenskaper
6,Humanistiset tieteet,Humanities ,Humanistiska vetenskaper,611,Filosofia,Philosophy ,Filosofi
6,Humanistiset tieteet,Humanities ,Humanistiska vetenskaper,6121,Kielitieteet,Languages ,Språkvetenskaper
6,Humanistiset tieteet,Humanities ,Humanistiska vetenskaper,6122,Kirjallisuuden tutkimus,Literature studies ,Litteraturforskning
6,Humanistiset tieteet,Humanities ,Humanistiska vetenskaper,6131,"Teatteri, tanssi, musiikki, muut esittävät taiteet","Theatre, dance, music, other performing arts ","Teater, dans, musik, övrig scenkonst"
6,Humanistiset tieteet,Humanities ,Humanistiska vetenskaper,6132,Kuvataide ja muotoilu,Visual arts and design ,Bildkonst och formgivning
6,Humanistiset tieteet,Humanities ,Humanistiska vetenskaper,614,Teologia,Theology ,Teologi
6,Humanistiset tieteet,Humanities ,Humanistiska vetenskaper,615,Historia ja arkeologia,History and archaeology ,Historia och arkeologi
6,Humanistiset tieteet,Humanities ,Humanistiska vetenskaper,616,Muut humanistiset tieteet ,Other humanities ,Övriga humanistiska vetenskaper
9,Muut,Other,Övrigt,999,Muut ,Other,Övrigt
