IPTC-sanasto v2.1 3/2011. Lähde: IPTC NewsCodes http://cv.iptc.org/newscodes/subjectcode,,,,,
,,,,,
01000000,,,,Taide Kulttuuri Viihde,Ihmisten luova toiminta ja henkisten kykyjen ja saavutusten kehittäminen.
,01001000,,,Arkeologia,
,01002000,,,Arkkitehtuuri,
,01003000,,,Härkätaistelut,
,01004000,,,Kulttuuritapahtumat,"Myös usean taiteenalan tapahtumat, esim. Helsingin juhlaviikot"
,01005000,,,Elokuva ,
,,01005001,,Elokuvajuhlat,"Kansalliset ja kansainväliset elokuvajuhlat ja festivaalit, niiden valinnat, valintaraadit, ehdokkuudet ja palkinnot"
,01006000,,,Tanssitaide,
,01007000,,,Muoti,"Muotitalot, muodin luominen ja suunnittelu, haute couture Vaatteiden ja asusteiden suunnittelu"
,,01007001,,Korut,Korut asusteina
,01008000,,,Kielet,
,01009000,,,Kirjastot Museot Arkistot,
,01010000,,,Kirjallisuus,
,,01010001,,Kaunokirjallisuus,Tavallisesti kirjailijan luovaan mielikuvitukseen perustuva suorasanainen kertomakirjallisuus
,,01010002,,Runous,"Kaunokirjallisuuden runomuotoinen ilmaisu, rakenne ja muodot"
,01011000,,,Musiikki,
,,01011001,,Klassinen musiikki,Klassisia rytmi- ja harmoniarakenteita noudattava musiikki
,,01011002,,Kansanmusiikki,"Kansallinen, usein tarinoiva perinnemusiikki"
,,01011003,,Jazz,"Monimuotoisia, usein improvisoituja sointuja käyttävä musiikki"
,,01011004,,Populaarimusiikki,Suosittu viimeisten muotivirtausten mukainen musiikki
,,01011005,,Country,"Pohjoisamerikkalainen kansanmusiikki, kertoo usein lemmenkaipuusta ja -menetyksestä"
,,01011006,,Rock,1950-luvulla syntynyt populaari tanssimusiikki
,,01011007,,Hiphop,
,01012000,,,Maalaustaide,
,01013000,,,Valokuvaus,
,01014000,,,Radio,Radion sisällöntuotanto
,01015000,,,Kuvanveisto,"Saven, kiven, puun, metallin ja muiden materiaalien käyttö taiteellisen ilmaisun välineenä"
,,01015001,,Veistokset,Käsin muotoillun taiteen eri muodot ja installaatiot
,01016000,,,Televisio,Television sisällöntuotanto
,,01016001,,Saippuaoopperat,
,01017000,,,Teatteri,
,,01017001,,Musiikkiteatteri,"Ooppera, operetti, revyy, musikaali jne."
,01018000,,,Kulttuuriperintö,
,01019000,,,Perinne Tapakulttuuri,
,01020000,,,Taiteet yleistä,
,01021000,,,Viihde yleistä,
,,01021001,,Viihdealan palkinnot,
,01022000,,,Kulttuuri yleistä,
,,01022001,,Kulttuurihistoria,Taiteen ja kulttuurin kehittymisen historia
,01023000,,,Yökerhoviihde,
,01024000,,,Sarjakuvat Pilakuvat,
,01025000,,,Animaatio,
,01026000,,,Joukkoviestintä,"Televisio, radio, aikakausilehdet, sanomalehdet jne."
,,01026001,,Aikakauslehdet,"Kirjallinen materiaali, jota julkaistaan toistuvasti viikoittain tai harvemmin"
,,01026002,,Sähköinen tiedonvälitys,"Sähköisten välineiden, esim. television ja radion sisällöntarjonta"
,,01026003,,Sanomalehdet,"Päivittäin tai harvemmin ilmestyvät julkaisut, joissa on ajankohtaisia uutisia, reportaaseja ja sarjakuvia"
,,01026004,,Katsaukset,"Kriittiset elokuva-, teatteri- ja kirjallisuuskatsaukset"
,01027000,,,Taide ja viihde Internetissä,
,01028000,,,Historia,
02000000,,,,Laki Oikeus Rikokset,"Yhteiskunnan käyttäytymissääntöjen luominen ja/tai niiden ilmituominen. Näiden sääntöjen toimeenpano, niiden rikkominen ja rikkojien rankaiseminen. Näissä toimissa mukana olevat järjestöt ja elimet."
,02001000,,,Rikokset,
,,02001001,,Henkirikokset,
,,02001002  ,,atk-rikokset,Tietokoneen avulla tehdyt rikokset
,,02001003,,Varallisuusrikokset,"Murrot, petokset, ryöstöt, vahingonteot, varkausrikokset (sis. kavallukset ja luvattomat käyttöönotot)"
,,02001004,,Huumausainerikokset,Huumaavien aineiden välitys 
,,02001005,,Seksuaalirikokset,Seksuaalinen väkivalta 
,,02001006,,Väkivaltarikokset,"Väkivaltarikokset yleisesti: pahoinpitelyt, riidat, tappelut ja uhkaava käyttäytyminen"
,,02001007,,Ihmisryöstöt,"Kidnappaukset, sieppaukset"
,,02001008,,Tuhopoltot,Tahallinen tulipalon sytyttäminen 
,,02001009,,Jengirikollisuus,
,,02001010,,Terrorismi,
,02002000,,,Oikeuslaitos,
,,02002001,,Asianajajat,"Lainopillisen koulutuksen saaneet, kuten asianajajat, lainopilliset neuvonantajat, notaarit. "
,,02002002,,Tuomarit,
,,02002003,,Tuomioistuinten virkamiehet,"Kirjurit, kanslistit, haastemiehet, voudit, pikakirjoittajat jne. "
,02003000,,,Poliisi,
,,02003001,,Laillisuusvalvonta,
,,02003002,,Poliisitutkinta,
,,02003003,,Pidättäminen,
,02004000,,,Rangaistukset,
,,02004001,,Sakko,Sis. myös rikemaksut
,,02004002,,Kuolemanrangaistus Teloitus,
,02005000,,,Vankilat,
,02006000,,,Lait,
,,02006001,,Rikoslainsäädäntö,
,,02006002,,Siviililainsäädäntö,
,02007000,,,Oikeusturva,
,,02007001,,Perusoikeudet,Kansalaisen perusoikeudet
,02008000,,,Oikeudenkäynti,
