"lang","code","iso6391code"
"http://lexvo.org/id/iso639-3/fil","fil",
"http://lexvo.org/id/iso639-3/nno","nno","nn"
"http://lexvo.org/id/iso639-3/phn","phn",
"http://lexvo.org/id/iso639-3/vol","vol","vo"
"http://lexvo.org/id/iso639-3/ang","ang",
"http://lexvo.org/id/iso639-5/phi","phi",
"http://lexvo.org/id/iso639-3/sin","sin","si"
"http://lexvo.org/id/iso639-3/roh","roh","rm"
"http://lexvo.org/id/iso639-5/cpp","cpp",
"http://lexvo.org/id/iso639-3/sqi","alb","sq"
"http://lexvo.org/id/iso639-3/ale","ale",
"http://lexvo.org/id/iso639-3/tli","tli",
"http://lexvo.org/id/iso639-5/ypk","ypk",
"http://lexvo.org/id/iso639-3/hat","hat","ht"
"http://lexvo.org/id/iso639-3/kat","geo","ka"
"http://lexvo.org/id/iso639-3/nob","nob","nb"
"http://lexvo.org/id/iso639-3/aar","aar","aa"
"http://lexvo.org/id/iso639-3/abk","abk","ab"
"http://lexvo.org/id/iso639-3/ace","ace",
"http://lexvo.org/id/iso639-3/ach","ach",
"http://lexvo.org/id/iso639-3/ada","ada",
"http://lexvo.org/id/iso639-3/ady","ady",
"http://lexvo.org/id/iso639-3/ave","ave","ae"
"http://lexvo.org/id/iso639-3/afh","afh",
"http://lexvo.org/id/iso639-3/arp","arp",
"http://lexvo.org/id/iso639-3/ain","ain",
"http://lexvo.org/id/iso639-5/alg","alg",
"http://lexvo.org/id/iso639-3/alt","alt",
"http://lexvo.org/id/iso639-3/gsw","gsw",
"http://lexvo.org/id/iso639-3/arg","arg","an"
"http://lexvo.org/id/iso639-3/anp","anp",
"http://lexvo.org/id/iso639-5/apa","apa",
"http://lexvo.org/id/iso639-3/arw","arw",
"http://lexvo.org/id/iso639-3/arn","arn",
"http://lexvo.org/id/iso639-5/art","art",
"http://lexvo.org/id/iso639-3/asm","asm","as"
"http://lexvo.org/id/iso639-3/ast","ast",
"http://lexvo.org/id/iso639-5/ath","ath",
"http://lexvo.org/id/iso639-5/aus","aus",
"http://lexvo.org/id/iso639-3/awa","awa",
"http://lexvo.org/id/iso639-3/aym","aym","ay"
"http://lexvo.org/id/iso639-3/bak","bak","ba"
"http://lexvo.org/id/iso639-5/bad","bad",
"http://lexvo.org/id/iso639-5/bai","bai",
"http://lexvo.org/id/iso639-3/bal","bal",
"http://lexvo.org/id/iso639-3/ban","ban",
"http://lexvo.org/id/iso639-3/bam","bam","bm"
"http://lexvo.org/id/iso639-3/bas","bas",
"http://lexvo.org/id/iso639-5/bat","bat",
"http://lexvo.org/id/iso639-3/bej","bej",
"http://lexvo.org/id/iso639-3/bem","bem",
"http://lexvo.org/id/iso639-3/bho","bho",
"http://lexvo.org/id/iso639-3/bis","bis","bi"
"http://lexvo.org/id/iso639-3/bik","bik",
"http://lexvo.org/id/iso639-3/byn","byn",
"http://lexvo.org/id/iso639-3/bin","bin",
"http://lexvo.org/id/iso639-3/bla","bla",
"http://lexvo.org/id/iso639-3/lua","lua",
"http://lexvo.org/id/iso639-3/bre","bre","br"
"http://lexvo.org/id/iso639-3/bra","bra",
"http://lexvo.org/id/iso639-3/mya","bur","my"
"http://lexvo.org/id/iso639-5/btk","btk",
"http://lexvo.org/id/iso639-3/bua","bua",
"http://lexvo.org/id/iso639-3/bug","bug",
"http://lexvo.org/id/iso639-3/cad","cad",
"http://lexvo.org/id/iso639-5/cai","cai",
"http://lexvo.org/id/iso639-3/khm","khm","km"
"http://lexvo.org/id/iso639-3/car","car",
"http://lexvo.org/id/iso639-5/cau","cau",
"http://lexvo.org/id/iso639-3/cho","cho",
"http://lexvo.org/id/iso639-3/che","che","ce"
"http://lexvo.org/id/iso639-3/ceb","ceb",
"http://lexvo.org/id/iso639-5/cel","cel",
"http://lexvo.org/id/iso639-3/cha","cha","ch"
"http://lexvo.org/id/iso639-3/chb","chb",
"http://lexvo.org/id/iso639-3/chr","chr",
"http://lexvo.org/id/iso639-3/chy","chy",
"http://lexvo.org/id/iso639-3/chg","chg",
"http://lexvo.org/id/iso639-3/chp","chp",
"http://lexvo.org/id/iso639-3/chk","chk",
"http://lexvo.org/id/iso639-3/chn","chn",
"http://lexvo.org/id/iso639-3/nya","nya","ny"
"http://lexvo.org/id/iso639-5/cmc","cmc",
"http://lexvo.org/id/iso639-3/cos","cos","co"
"http://lexvo.org/id/iso639-3/cop","cop",
"http://lexvo.org/id/iso639-3/cor","cor","kw"
"http://lexvo.org/id/iso639-5/cpe","cpe",
"http://lexvo.org/id/iso639-5/cpf","cpf",
