510i-arvo (siistittynä),RDA label,RDA URI,Kommentit
perustajayhteisö,has founding corporate body of corporate body,rdaa:P50007,massa-ajoon täydennettäväksi (p.o. yhteisön perustanut yhteisö)
yhteisön perustanut yhteisö,has founding corporate body of corporate body,rdaa:P50007,
kattoyhteisö,has hierarchical superior,rdaa:P50008,
alayhteisö,has hierarchical subordinate,rdaa:P50010,
kanssayhdistyjä,has mergee,rdaa:P50011,
yhdistynyt yhteisöön,has mergee,rdaa:P50011,massa-ajoon täydennettäväksi (p.o. kanssayhdistyjä)
yhteisöön yhdistynyt,has mergee,rdaa:P50011,massa-ajoon täydennettäväksi (p.o. kanssayhdistyjä)
edeltäjä,has predecessor of corporate body,rdaa:P50012,
yhdistymisestä muodostunut,has product of merger,rdaa:P50013,massa-ajoon täydennettäväksi (p.o. yhdistymisestä muodostunut yhteisö)
yhdistymisestä muodostunut yhteisö,has product of merger,rdaa:P50013,
jakautumisesta muodostunut,has product of split,rdaa:P50014,massa-ajoon täydennettäväksi (p.o. jakautumisesta muodostunut yhteisö)
jakautumisesta muodostunut yhteisö,has product of split,rdaa:P50014,
seuraaja,has successor of corporate body,rdaa:P50016,
yhteisön perustama yhteisö,has founded corporate body of corporate body,rdaa:P50017,
perustaja,has founding person of corporate body,rdaa:P50029,
jäsenenä yhteisössä,has person member of corporate body,rdaa:P50030,
jäsen yhteisössä,has person member of corporate body,rdaa:P50030,massa-ajoon täydennettäväksi (p.o. yhteisön henkilöjäsen)
jäsen yhtyeessä,has person member of corporate body,rdaa:P50030,SIBAn käyttämä suhde; massa-ajoon täydennettäväksi (p.o. yhteisön henkilöjäsen)
yhteisö,is person member of corporate body of,rdaa:P50095,
perustanut yhteisön,has founded corporate body of person,rdaa:P50112,
jakautumista edeltänyt yhteisö,has predecessor of split,rdaa:P50229,massa-ajoon täydennettäväksi (p.o. jakautunut yhteisö)
jakautunut,has predecessor of split,rdaa:P50229,massa-ajoon täydennettäväksi (p.o. jakautunut yhteisö)
jakautunut yhteisö,has predecessor of split,rdaa:P50229,
yhteisön laajempi jäsenyhteisö,is corporate body member of corporate body of,rdaa:P50230,
laajempi jäsenyhteisö,is corporate body member of corporate body of,rdaa:P50230,massa-ajoon täydennettäväksi (p.o. yhteisön laajempi jäsenyhteisö)
yhteisön jäsenyhteisö,has corporate body member of corporate body,rdaa:P50231,
yhdistynyt,has component of merger,rdaa:P50232,massa-ajoon täydennettäväksi (p.o. yhdistynyt yhteisö)
yhdistynyt yhteisö,has component of merger,rdaa:P50232,
laajempi emoyhtiö,has broader affiliated body,rdaa:P50240,
paikallinen tytäryhtiö,has local affiliate,rdaa:P50241,
sulautunut yhteisö,has absorbed corporate body,rdaa:P50301,
sulautunut yhteisöön,has absorbing corporate body,rdaa:P50302,
sulautunut yhtiöön,has absorbing corporate body,rdaa:P50302,massa-ajoon täydennettäväksi (p.o. sulauttunut yhteisöön)
yhteisöön sulautunut,has absorbing corporate body,rdaa:P50302,
,,,
esiintynyt myös nimellä,,,"oma termi, on vain kolmessa tietueessa (yhteisön ""pseudonyymin"" tavoin)"
jäsen,,,KORJATTU
,,,
rda registeryn käännökset löytyy täältä:,https://docs.google.com/spreadsheets/d/1HzsqRphmTM_mcEH97prFIb8z9jKFpR5nCrQRmnI5bVw/edit#gid=1650351329,,
