Field,Field-fin,Value-fin,Field-eng,Value-eng,Field-swe,Value-swe,Field-ger,Value-ger,Field-fre,Value-fre,Field-slv,Value-slv,Field-spa,Value-spa
dc:title,Nimi,GFDC - Metsäalan kymmenluokittelu,Title,GFDC - Global Forest Decimal Classification,Namn,GFDC - Skoglig decimalklassifikation,Name,GFDC - Forstlich Dezimalklassifikation,Titre,GFDC - Classification décimale forestière,Naslov,GFDC - Sistem decimalne klasifikacije za gozdarstvo,Titulo,GFDC - Clasificacion decimal forestal
dc:description,Kuvaus,"Metsäalan kymmenluokitus kattaa noin 2700 luokkaa metsätalouden ja metsäntutkimuksen eri aloilta. Luokitusta voi käyttää sellaisenaan kuten UDK-luokitusta ja sen 630* Metsätalous -luokan alajaotteluna. Luokitus on alunperin laadittu yli 100 vuotta sitten, mutta sitä on päivitetty useita kertoja sen jälkeen. Metsäalan kymmenluokitusta ei ole aiemmin julkaistu kokonaisuudessaan suomen kielellä. Metsäkirjasto ja myöhemmin Viikin kampuskirjasto julkaisivat luokituksesta lyhennettyjä versioita eri vuosikymmeninä 1990-luvulle saakka. Tämä versio perustuu vuoden 2006 julkaisuun ja siihen on lisätty suomen kieli vuonna 2016. Ruotsinkielinen käännös perustuu vuoden 1971 julkaistuun versioon. Sloveniankielinen käännös on julkaistu Ljubljanassa 1975 ja espanjankielinen käännös Madridissa 1959.",Description,"The 2006 version of the classification was published as the ""Global Forest Decimal Classification (GFDC)"" which replaces the former ""Forest Decimal Classification (FDC) of 1992"" and ""Oxford System for Decimal Classification for Forestry (ODC)"" of 1956. The classification includes about 2700 detailed schedules and comprehensive indexes in English, German, and Finnish. The UDC auxiliary numbers and the long insect tables are not included in this online version. The common auxiliary numbers for form, place, properities and materials are available at UDCSummary http://www.udcsummary.info/php/index.php?tag=---&lang=en

This classification may be used direclty as subclasses of UDC class 630 Forestry. The Finnish translation was added in 2016. The French translation was published in 1992 by IUFRO. The Swedish translation is based on the printed version published in 1966. The Slovenian translation was published in 1975 by the University of Ljubljana. The Spanish translation was published in 1959 by the Comision Española de Bibliografia y Terminologia de Mardid.",Beskrivning,"2006 version av klassifikation publiserades med namnet ""Global Forest Decimal Classification (GFDC)"" och den ersätter den tidigare ""Forest Decimal Classification (FDC)"" från 1992 och den ""Oxford System for Decimal Classification for Forestry (ODC)"" från 1953. Klassifikationen innehåller ca. 2700 detaljerade scheman och ett omfattande index på engelska, tyska, svenska och finska. ""Diverse"" klasser, UDC hjälpnummer och de långa insekt-tabeller ingår inte i denna online-version. Denna klassificering kan användas direkt som underklasser av UDC klass 630* Skogsbruket. Den finska översättningen tillkom år 2016. Den svenska översättningen är baserad på den tryckta 'auktoriserad översättning'  publicerad i 1966 av SKLA. Den slovenska översättningen var publicerad i 1975 av Universitet i Ljubljana.",Beschreibung,"Die 2006 Version der Klassifikation wurde als die ""Globale Forst Dezimal-Klassifikation (GFDC)"" veröffentlicht, die den ehemaligen ""Forstliche Dezimal-Klassifikation (FDK) des Jahres 1992"" und ""Oxford-System for Decimal Classification for forests and Forestry (ODC)"" von 1956. Das ersetzt Klassifizierung enthält etwa 2700 detaillierte Klasse und umfassende Index in Englisch, Deutsch Schwedisch und Finnisch. Die ""Verschiedenes"" Klassen, UDC Hilfsnummern und die langen Insekten Tabellen sind nicht in dieser Online-Version enthalten. Diese Klassifizierung kann direkt als Subklassen von UDC Klasse 630* Forstwirtschaft verwendet werden. Die finnische Ûbersetzung wurde geschaffen in 2016. Die schwedische Übersetzung hinzugefügt auf der gedruckten Version 1966 veröffentlicht basiert.",La description,"La version 2006 de la classification a été publiée sous la ""Global Forest Decimal Classification (GFDC)"" qui remplace l'ancien ""Classification des forêts decimal (FDC) 1992"" et ""Oxford Système de classification décimale pour la foresterie (ODC)"" de 1956. La classification comprend environ 2700 tableaux détaillés et des index complets en anglais, allemand, suede et finlandais. Les classes ""Divers"", numéros auxiliaires UDC et les tables d'insectes ne sont pas inclus dans cette version en ligne. Cette classification peut être utilisé direct comme sous-classes de la classe UDC 630* Forêts. La traduction finlandaise a été ajouté en 2016. La traduction suédoise est basée sur la version imprimée publiée en 1966.",Opis,"Različica klasifikacije 2006 je bila objavljena kot ""Global Forest Decimal Classification (GFDC)"" ki nadomešča nekdanji ""Forest decimal classification (FDC) iz leta 1992"" in ""Oxford System for Decimal Classification for Forestry (ODC)"" iz leta 1956.",Descripción,Version española editada por la comision española de bibliografia y terminologia de Madrid. Traduccion Autorizada por el comite mixto FAO-IUFRO.
dc:publisher,Julkaisija,"International Union of Forest Research Organizations (IUFRO)
Luonnonvarakeskus (Luke)",Publisher,"International Union of Forest Research Organizations (IUFRO), Unit 9.0.01 Library, information networks and terminology.
Natural Resources Institute Finland (Luke)",Utgivare,"International Union of Forest Research Organizations (IUFRO)
Naturrresursinstitutet (Luke), Finland",Herausgeber,"Internationaler Verband Forstlicher Forschungsanstalten (IUFRO)
Naturrresursinstitutet (Luke), Finland",Éditeur,"Union Internationale des Instituts de Recherches Forestières (IUFRO), Unit 9.0.01 Bibliothèque, réseaux d'information et de la terminologie.
Institut des ressources naturelles de Finlande  (Luke)",Založnik,Mednarodna zveza organizacij za raziskovanje gozdov (IUFRO). Naravni viri inštitut Finska (Luke),Editor,Comision Española de Bibliografia y Terminologia de Madrid.
dc:creator,Tekijä,"IUFRO Unit 9.0.01 Library, information networks and terminology
Barbara Holder (Forintek Ltd, Vancouver, Kanada)
Daryoush Voshmgir (BFW, Itävalta) -- (saksa)
Jarmo Saarikko (Metsäntutkimuslaios) -- (suomi ja ruotsi)",Creator,"Barbara Holder (Forintek Ltd, Vancouver, Canada)
Jarmo Saarikko, Finnish Forest Research Institute (Metla) -- (Finnish and Swedish)
Daryoush Voshmgir - Bundesforschungs- und Ausbildungszentrum für Wald, Naturgefahren und Landschaft (BFW), Österrike -- (German)
IUFRO Working Party 6.03.03 Global Forest Decimal Classification",Författare,"IUFRO Arbetsgrupp 6.03.03 Globale skoglig decimalklassifikation.
Barbara Holder (Forintek Ltd, Vancouver, Canada)
Daryoush Voshmgir - Bundesforschungs- und Ausbildungszentrum für Wald, Naturgefahren und Landschaft (BFW), Österrike -- (tyska)
Jarmo Saarikko (Skogsforskningsinstitutet, Finland) -- (finska och svenska)",Autoren,"IUFRO Arbeitsgruppe 6.03.03 Globale Forstiche Dezimal-Klassification.
Barbara Holder - Forintek Ltd, Vancouver, Canada -- (Französisch)
Jarmo Saarikko - Finnisches Institut für Waldforschung (Metla) -- (Finnisch och Schwedisch)
Daryoush Voshmgir - Bundesforschungs- und Ausbildungszentrum für Wald, Naturgefahren und Landschaft (BFW), Österreich -- (Deutsch)
",Créateur,"Barbara Holder - Forintek Ltd, Vancouver, Canada
Jarmo Saarikko - Institut National de la Recherche Forestière (Metla), FInlande
Daryoush Voshmgir - Bundesforschungs- und Ausbildungszentrum für Wald, Naturgefahren und Landschaft (BFW), -- (Deutsch) --  Autriche",Ustvarjalec,"Delovna skupina IUFRO 06:03:03 Globalni Gozdarska decimalna klasifikacija. Barbara Holder, Forintek Ltd, Vancouver, Canada. Jarmo Saarikko, raziskovalni inštitut gozd Finska, Vantaa, Finska. Daryoush Vosmgir, BFW, Dunaj, Avstrija (nemški jezik).  
Slovenskem jeziku prevod pripravili: D. Robič, N. Torelli in I. Winkler. Verzija obsega. Pregled razdelkov prvega in drugega reda",Creador,"Manuel Neira, presidente de la Comisión Española de Bibliografía y Terminología Forestal."
dc:contributor,Muu tekijä,"Saksankielinen käännös: Margarete Khorchidi, Austrian Federal Research and Training Centre for Forests, Natural Hazards and Landscape (BFW).  Renate Prüller, IUFRO Headquarters Vienna.  Ohjausryhmässä olivat Roger Mills - Plant Sciences Library, Oxford University Library Services, Gillian Petrokofsky - CAB International, Alan Reid - MAF Policy, New Zealand.  Ranskankielinen käännös on julkaistu 1992 (IUFRO). Ruotsinkielinen käännös on julkaistu 1966 ja täydennetty 2016. Sloveniankielinen käännös on julkaistu 1975 Ljubljanan yliopistossa.",Contributor,"GFDC 2006 edition: IUFRO project group P6.03-03 Global Forest Decimal Classification ,  Daryoush Voshmgir - BOKU Library, Austria, Barbara Holder - Forintec Canada, Jarmo Saarikko - Finnish Forest Research Institute, Roger Mills - Oxford University Library Services, Gillian Petrokofsky - CAB International, Alan Reid - MAF Policy, New Zealand and 16 other professional experts. David Gasparotto, Agroparistech, Nancy (GFDC 2006, database).
German translation (GFDC 2006): Daryoush Voshmgir and Margarete Khorchidi, Austrian Federal Research and Training Centre for Forests, Natural Hazards and Landscape (BFW).

FDC 1990 edition: IUFRO project group P6.01-00 Forest Decimal Classification (FDC), Regina Schenker, Zürich;
English version: Marja Zorn-Pogorelc, Ljubljana. Renate Prüller, IUFRO Headquarters Vienna;
German version: Daryoush Vosmgir, Vienna ; 
French version (FDC 1990) Marie-Jeanne Lionnet, Nancy.
",Medförfattare,"Tysk översättning: Margarete Khorchidi, Austrian Federal Research and Training Centre for Forests, Natural Hazards and Landscape (BFW). Renate Prüller, IUFRO Headquarters Vienna. Svenska versionen är baserad på den auktoriserad översätting publiserad av KSLA i 1966.",Beiträger,"Deutsches vesion: Margarete Khorchidi, Austrian Federal Research and Training Centre for Forests, Natural Hazards and Landscape (BFW). Renate Prüller, IUFRO Headquarters Vienna. 
Lenkungsausschuss: 
Barbara Holder - Forintek Canada
Roger Mills - Plant Sciences Library, Oxford University Library Services
Gillian Petrokofsky - CAB International
Alan Reid - MAF Policy, New Zealand
Und 16 andere fachlich mitarbeiter.",Donateur,"Marie-Jeanne Lionnet, Nancy, edition 1990; David Gasparotto, Agroparistech, Nancy, edition 2006 (database); Jarmo Saarikko, GFDC online, 2017",Sodelavci,"Nemški jezik: Margarete Khorchidi, BFW, Renate Prülller, IUFRO 2006. Angleški jezik:  Roger Mills, Oxford University Library Services, 
Gillian Petrokofsky - CAB International, Alan Reid - MAF Policy, New Zealand and 16 other professional experts. Švedski jezik: Švedski Gozdarstvo združenje in KSLA. ",Contribuidor,"Neira, Manuel, comision Española de bibilografia y terminología forestal en el Instituto Forestal de Investigaciones y Experiencias de Madrid.  G. Gallego, L. Ceballos, M. Martín Bolaños, A. Bernad y C . Peraza."
dc:source,Lähde,"Helsingin yliopiston metsäkirjasto. 1989. Metsäkirjallisuuden kymmenluokitus (lyhennetty). The Oxford system of decimal classification for forestry (ODC). Forest decimal classification (FDC). Helsingin yliopisto. Moniste. 8 s.;

Saarikko, Jarmo 2016. Metsäalan kymmenluokitus (lyhennetty versio), Luonnonvara- ja biotalouden tutkimus 45/2016, Luonnonvarakeskus, Helsinki. 32 s. http://urn.fi/URN:ISBN:978-952-326-282-9",Source,"Holder, B., Saarikko, J. and Voshmgir, D. 2006. Global Forest Decimal Classification (GFDC). IUFRO World Series Vol. 19. Vienna. 338 p. ISSN 1016-3263, ISBN 3-901347-61-5. Available at: http://urn.fi/urn:isbn:3-901347-61-5

IUFRO SilvaVoc Terminology Project. 2005. Multilingual Pocket Glossary of Forest Terms and Definitions. International Union of Forest Research Organizations. Vienna, Austria.  96 pp.  (for glossary term definitions)
",Källa,"Sveriges skogsvårdsförbund (1966). Oxfordsystemet för decimalklassifikation av skoglig litteratur. [Auktoriserad svensk översättning]. I medarbete med Kungl. Skogs- och lantbruksakademien. Stockholm : Sveriges skogsvårdsförbund, 122 s.;
Saarikko, Jarmo (2017)  Nya och uppdaterade klasser sedan 1966.  In: Skoglig decimalklassifikation (förkortad version).  Forskning om naturresurs- och bioekonomi. XX/2017, Naturresursinstitutet (Luke), Helsingfors. s. 31-36.  (in press)",Quelle,"Holder, B., Saarikko, J. and Voshmgir, D. 2006. Globale Forstliche DezimalKlassifikation
(GFDK). IUFRO World Series Vol. 19. Vienna. 338 p. ISSN 1016-3263, ISBN 3-901347-61-5",La source,"David Gasparotto, Agroparistech, Nancy
Renate Prueller, IUFRO Secretariat, SilvaVoc project. (pour GFDC 2006).  

Forest Decimal Classification; Trilingual short version = Forstliche Dezimal-Klassifikation; Dreisprachige Kurzfassung; = Classification Décimale Forestière;Version abrégée trilingue / compiled by IUFRO Project Group P6.01-00. – Vienna : IUFRO, 1990. – XIV, 147p. – (IUFRO World Series; vol. 2). ISSN 1016-3263",Vir,"Dušan Robič, Niko Torelli in Iztok Winkler (1975). Oksfordski sistem decimalne klasifikacije za gozdarstvo : Skrajšana verzija oksfordskega sistema v slovensken jeziku. Manual. Univerze v Ljubljani, Biotehniška fakulteta, Inštitut za gozdno in lesno gospodarstvo. Ljubljana.  30 strani.  [aprila 1975, v 40 izvodih.] URL: http://eprints.gozdis.si/id/eprint/1512",Fuente,"Neira, Manuel (red.) 1959. Sistema Oxford de Clasificion Decimal para Bibliografia Forestal.  Version Española editada por la Comision Española de Bibliografia y Terminologia de Mardid. Traduccion autorizada por el Comite mixto FAO-IUFRO.  Deposito Legal: M 9.445. - 1959. Madrid.  133 paginas."
